mrt_name,stop_id,line,longitude,latitude,town,region
TUAS CRESCENT MRT STATION,EW31,CG,103.6490755,1.321026553,TUAS,WEST REGION
KALLANG MRT STATION,EW10,CG,103.8713865,1.31148891,KALLANG,CENTRAL REGION
TUAS WEST ROAD MRT STATION,EW32,CG,103.6396141,1.329989089,TUAS,WEST REGION
BUONA VISTA MRT STATION,EW21,CG,103.7901915,1.307183467,QUEENSTOWN,CENTRAL REGION
DOVER MRT STATION,EW22,CG,103.7786378,1.311405293,QUEENSTOWN,CENTRAL REGION
KEMBANGAN MRT STATION,EW6,CG,103.9129494,1.321038249,BEDOK,EAST REGION
BOON LAY MRT STATION,EW27,CG,103.7060646,1.338604055,JURONG WEST,WEST REGION
BEDOK MRT STATION,EW5,CG,103.9299845,1.323979969,BEDOK,EAST REGION
JOO KOON MRT STATION,EW29,CG,103.6783751,1.327717173,PIONEER,WEST REGION
LAKESIDE MRT STATION,EW26,CG,103.7209493,1.344259249,JURONG WEST,WEST REGION
TANAH MERAH MRT STATION,EW4,CG,103.9463465,1.327187135,BEDOK,EAST REGION
TANJONG PAGAR MRT STATION,EW15,CG,103.8458642,1.276521247,DOWNTOWN CORE,CENTRAL REGION
BUGIS MRT STATION,EW12,CG,103.8557064,1.300465076,ROCHOR,CENTRAL REGION
TIONG BAHRU MRT STATION,EW17,CG,103.8270194,1.286193393,BUKIT MERAH,CENTRAL REGION
LAVENDER MRT STATION,EW11,CG,103.8628292,1.30735702,KALLANG,CENTRAL REGION
OUTRAM PARK MRT STATION,EW16,CG,103.8391265,1.281404978,OUTRAM,CENTRAL REGION
JURONG EAST MRT STATION,EW24 / NS1,CG,103.7422865,1.33315262,JURONG EAST,WEST REGION
CITY HALL MRT STATION,EW13 / NS25,CG,103.8525859,1.292936243,DOWNTOWN CORE,CENTRAL REGION
RAFFLES PLACE MRT STATION,EW14 / NS26,CG,103.8514617,1.284125611,DOWNTOWN CORE,CENTRAL REGION
