street_name,latitude,longitude
LOR 7 TOA PAYOH,1.33773938,103.8563254
LOR 4 TOA PAYOH,1.33589695,103.8508413
TOA PAYOH NTH,1.341875565,103.849352
UPP ALJUNIED LANE,1.334519173,103.8795789
WOODLANDS ST 13,1.43508653,103.7774397
TG PAGAR PLAZA,1.275721271,103.8429992
YUNG PING RD,1.330187751,103.7219809
TAMPINES ST 42,1.358873944,103.9523389
LOR 6 TOA PAYOH,1.338332046,103.8533914
BT BATOK ST 32,1.362487986,103.7482956
NILE RD,1.289142938,103.8359423
JLN MEMBINA BARAT,1.283564882,103.8267249
BUANGKOK STH FARMWAY 1,1.353356871,103.8751039
BT BATOK ST 33,1.362134763,103.7475835
BT BATOK ST 34,1.364129876,103.7499284
BT MERAH CTRL,1.283910674,103.8161685
WOODLANDS ST 32,1.431169083,103.7800711
BT BATOK ST 52,1.356401664,103.7534251
BT BATOK ST 51,1.355938244,103.7507258
BT BATOK WEST AVE 4,1.362767635,103.7471387
BT BATOK WEST AVE 2,1.358060767,103.7473041
SERANGOON NTH AVE 2,1.351724112,103.8699627
BT PANJANG RING RD,1.386586384,103.7646468
SERANGOON NTH AVE 4,1.373865742,103.8733732
BT BATOK WEST AVE 7,1.36549434,103.7489079
BT MERAH LANE 1,1.28583987,103.8040345
CHOA CHU KANG NTH 6,1.396588614,103.747469
CHOA CHU KANG NTH 5,1.392121461,103.7464665
UPP SERANGOON RD,1.35789627,103.8825622
CHOA CHU KANG NTH 7,1.40109027,103.7472199
SERANGOON NTH AVE 3,1.364952971,103.8722322
BT BATOK ST 22,1.344221744,103.7473698
BT BATOK ST 24,1.34292062,103.7566718
BT BATOK ST 25,1.343891568,103.7608248
BT BATOK WEST AVE 5,1.35887256,103.742198
LOR 1A TOA PAYOH,1.337375954,103.8449363
UPP SERANGOON CRES,1.377562791,103.9004862
UPP SERANGOON VIEW,1.375132768,103.9029811
BT BATOK EAST AVE 6,1.345362287,103.7571941
BT BATOK WEST AVE 9,1.355045793,103.7418235
TAMPINES NTH DR 1,1.367026059,103.9339666
